ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
511,25.0,47,12.6,6.5,1.0,1.3,0.043,0.159,0.1669999999999999,0.599,0.047,2,3,282
511,26.0,42,12.9,7.1,1.0,-0.3,0.052,0.188,0.173,0.615,0.053,3,3,282
73,31.0,67,15.5,13.5,1.2,2.7,0.123,0.294,0.192,0.644,0.0579999999999999,1,3,44
73,32.0,36,8.1,6.0,0.6,-8.1,0.109,0.2689999999999999,0.2269999999999999,0.5660000000000001,0.0579999999999999,2,3,44
73,33.0,65,8.2,7.6,0.4,10.1,0.142,0.275,0.1639999999999999,0.662,0.031,3,3,44
277,31.0,28,1.8,3.8,0.4,-15.2,0.107,0.2339999999999999,0.092,0.489,0.062,1,3,154
277,32.0,23,2.1,5.0,0.9,-7.6,0.127,0.235,0.078,0.487,0.1,2,3,154
277,33.0,31,0.9,2.1,0.2,4.6,0.072,0.23,0.062,0.632,0.053,3,3,154
225,36.0,21,4.6,3.7,2.4,-1.9,0.04,0.132,0.121,0.507,0.181,1,3,128
225,37.0,63,4.4,3.5,2.3,-2.5,0.03,0.134,0.109,0.519,0.153,2,3,128
225,38.0,31,4.0,3.2,3.7,8.7,0.035,0.1169999999999999,0.113,0.478,0.263,3,3,128
390,26.0,31,6.1,4.3,0.9,-2.6,0.105,0.243,0.222,0.5760000000000001,0.136,1,3,218
390,27.0,47,7.8,7.1,1.1,0.0,0.134,0.247,0.166,0.591,0.0819999999999999,2,3,218
390,28.0,50,9.1,6.8,1.3,-1.6,0.153,0.24,0.211,0.5820000000000001,0.113,3,3,218
77,24.0,38,8.7,2.2,1.4,-6.0,0.01,0.103,0.171,0.609,0.104,1,3,47
77,25.0,50,10.6,3.2,2.2,0.5,0.0139999999999999,0.106,0.1639999999999999,0.586,0.1159999999999999,2,3,47
77,26.0,66,11.1,3.4,1.5,5.0,0.017,0.0969999999999999,0.148,0.609,0.075,3,3,47
90,25.0,39,3.5,4.8,1.5,-1.0,0.055,0.157,0.087,0.429,0.087,1,3,55
90,26.0,66,8.0,4.1,2.3,-6.3,0.0559999999999999,0.129,0.148,0.599,0.153,2,3,55
90,27.0,49,7.4,4.5,2.2,1.7,0.062,0.123,0.153,0.532,0.159,3,3,55
421,20.0,55,13.5,4.1,2.2,-1.7,0.011,0.131,0.213,0.55,0.131,1,3,232
421,21.0,54,15.1,5.0,3.4,-2.9,0.015,0.144,0.225,0.5429999999999999,0.184,2,3,232
421,22.0,66,20.7,5.0,4.0,5.3,0.015,0.133,0.278,0.561,0.205,3,3,232
88,30.0,68,8.8,4.3,1.4,0.8,0.015,0.144,0.171,0.499,0.077,1,3,53
88,31.0,67,7.2,3.4,1.6,5.9,0.019,0.14,0.159,0.564,0.108,2,3,53
88,32.0,39,3.4,1.8,0.9,-8.9,0.022,0.0969999999999999,0.128,0.451,0.085,3,3,53
402,28.0,19,14.5,3.9,2.9,-1.1,0.017,0.1159999999999999,0.259,0.506,0.159,1,3,219
402,29.0,33,19.8,4.8,4.6,-2.3,0.01,0.1369999999999999,0.286,0.512,0.233,2,3,219
402,30.0,8,12.4,2.9,3.5,-1.4,0.017,0.11,0.247,0.608,0.2769999999999999,3,3,219
429,20.0,69,10.4,5.6,2.6,-5.5,0.04,0.171,0.174,0.524,0.142,1,3,237
429,21.0,34,4.7,3.1,0.9,3.1,0.039,0.158,0.141,0.525,0.076,2,3,237
429,22.0,66,4.3,3.1,1.0,-2.3,0.038,0.154,0.118,0.525,0.0819999999999999,3,3,237
156,30.0,61,19.1,4.8,6.7,0.5,0.034,0.095,0.241,0.537,0.284,1,3,91
156,31.0,59,17.7,4.5,6.1,9.2,0.037,0.093,0.217,0.5920000000000001,0.253,2,3,91
156,32.0,67,18.3,4.5,6.8,8.5,0.031,0.1,0.231,0.593,0.297,3,3,91
129,28.0,70,14.9,11.3,1.9,0.3,0.11,0.2789999999999999,0.211,0.631,0.109,1,3,78
129,29.0,62,17.1,12.5,1.8,3.8,0.134,0.289,0.217,0.636,0.0969999999999999,2,3,78
129,30.0,74,17.8,11.4,2.6,1.2,0.1,0.28,0.238,0.617,0.1369999999999999,3,3,78
496,29.0,29,8.1,2.3,1.4,-5.8,0.018,0.0819999999999999,0.153,0.502,0.087,1,3,272
496,30.0,65,10.9,3.4,1.5,2.5,0.008,0.102,0.14,0.606,0.072,2,3,272
496,31.0,68,8.6,3.5,1.2,6.6,0.017,0.106,0.128,0.5579999999999999,0.06,3,3,272
446,23.0,73,9.1,4.0,1.8,2.9,0.032,0.107,0.125,0.62,0.086,1,3,245
446,24.0,72,13.5,4.3,2.1,7.4,0.035,0.099,0.147,0.667,0.085,2,3,245
446,25.0,82,14.2,4.2,2.3,9.8,0.027,0.089,0.149,0.627,0.084,3,3,245
34,21.0,63,9.2,3.4,1.7,-3.3,0.0409999999999999,0.092,0.187,0.467,0.105,1,3,19
34,22.0,34,5.3,3.1,0.7,-10.7,0.059,0.132,0.179,0.476,0.079,2,3,19
34,23.0,37,3.5,1.3,0.9,-2.3,0.033,0.1009999999999999,0.1989999999999999,0.433,0.135,3,3,19
522,22.0,69,10.6,5.3,1.6,6.2,0.038,0.129,0.142,0.6,0.074,1,3,285
522,23.0,43,15.9,5.5,2.2,3.3,0.037,0.125,0.193,0.605,0.098,2,3,285
522,24.0,48,17.1,5.5,2.6,3.9,0.04,0.1159999999999999,0.204,0.5489999999999999,0.108,3,3,285
404,40.0,4,3.0,4.0,0.3,-20.2,0.02,0.349,0.147,0.47,0.048,1,3,220
404,41.0,1,4.0,1.0,0.0,66.7,0.0,0.25,0.286,1.0,0.0,2,3,220
404,42.0,13,2.5,1.9,0.3,-9.5,0.043,0.239,0.183,0.495,0.077,3,3,220
296,25.0,55,5.6,3.7,0.6,-12.6,0.08,0.153,0.113,0.7120000000000001,0.057,1,3,163
296,26.0,39,4.7,3.1,0.7,-5.1,0.064,0.156,0.12,0.7120000000000001,0.075,2,3,163
296,27.0,56,8.1,4.4,1.2,-6.8,0.074,0.1639999999999999,0.163,0.701,0.106,3,3,163
