PlayerID,player_height,player_weight,Unnamed: 0,team_abbreviation,age,college,country,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_index,seasons_total
4192,210.82,128.820128,11660,DEN,26.0,,Serbia,2,41,72,26.4,10.8,8.3,7.7,0.087,0.237,0.293,0.647,0.377,1,3
4192,210.82,128.820128,12034,DEN,27.0,,Serbia,2,41,74,27.1,13.8,7.9,8.4,0.09,0.313,0.309,0.6609999999999999,0.3879999999999999,2,3
4192,210.82,128.820128,12381,DEN,28.0,,Serbia,2,41,69,24.5,11.8,9.8,12.5,0.08,0.283,0.263,0.701,0.412,3,3
501,190.5,83.91452,601,CHI,24.0,Wake Forest,USA,Undrafted,Undrafted,14,3.5,0.6,0.4,9.9,0.009,0.0559999999999999,0.191,0.466,0.054,1,3
501,190.5,83.91452,2218,UTA,28.0,Wake Forest,USA,Undrafted,Undrafted,33,5.8,1.5,2.2,-5.9,0.024,0.0819999999999999,0.2019999999999999,0.482,0.2339999999999999,2,3
501,190.5,83.91452,3314,GSW,30.0,Wake Forest,USA,Undrafted,Undrafted,4,1.0,0.8,0.5,-40.5,0.0,0.2,0.18,0.515,0.154,3,3
4103,195.58,97.52228,11332,BOS,21.0,Vanderbilt,USA,1,14,46,4.7,2.8,0.5,-0.5,0.0409999999999999,0.146,0.133,0.573,0.047,1,3
4103,195.58,97.52228,11965,BOS,22.0,Vanderbilt,USA,1,14,52,3.8,1.7,0.4,3.0,0.025,0.1169999999999999,0.1639999999999999,0.507,0.057,2,3
4103,195.58,97.52228,12593,IND,23.0,Vanderbilt,USA,1,14,73,10.1,3.8,1.3,-4.7,0.033,0.119,0.168,0.5660000000000001,0.073,3,3
2006,198.12,102.0582,5299,UTA,23.0,Rice,USA,1,25,9,1.4,0.2,0.3,-18.3,0.0,0.069,0.22,0.368,0.13,1,3
2006,198.12,102.0582,5646,UTA,24.0,Rice,USA,1,25,25,3.7,1.4,0.3,-7.3,0.042,0.111,0.193,0.498,0.054,2,3
2006,198.12,102.0582,7038,WAS,27.0,Rice,USA,1,25,4,3.5,2.0,0.5,25.0,0.016,0.1369999999999999,0.125,0.382,0.039,3,3
2758,205.74,109.769264,8081,BKN,28.0,,Bosnia,Undrafted,Undrafted,72,8.6,3.7,0.8,-3.4,0.05,0.175,0.2019999999999999,0.5589999999999999,0.069,1,4
2758,205.74,109.769264,8209,BKN,29.0,,Bosnia,Undrafted,Undrafted,40,8.5,4.9,1.2,-1.9,0.034,0.1969999999999999,0.2,0.5,0.087,2,4
2758,205.74,109.769264,9023,PHX,30.0,,Bosnia,Undrafted,Undrafted,79,12.2,3.8,1.1,-5.8,0.035,0.1639999999999999,0.233,0.5710000000000001,0.088,3,4
2758,205.74,109.769264,9613,MIL,32.0,,Bosnia and Herzegovina,Undrafted,Undrafted,10,7.1,2.3,1.0,-10.4,0.021,0.128,0.183,0.623,0.103,4,4
1179,203.2,99.79024,2690,SAS,25.0,Butler Community College,USA,2,42,80,11.8,3.6,2.3,5.2,0.036,0.11,0.22,0.526,0.136,1,4
1179,203.2,99.79024,7124,SAS,34.0,Butler Community College,USA,2,42,47,9.8,3.5,2.5,2.0,0.021,0.136,0.215,0.485,0.151,2,4
